Name,Category,Ingredients,Instructions,Garnish,Glass,Source
Ruby Mule 1146,Signature,"Mezcal, Cardamom, Sugar Syrup, Lime Juice","Combine Mezcal, Cardamom, and Sugar Syrup in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Social (Bangalore)
Coastal Sling 1147,Tropical,"Vodka, Curry Leaves, Cranberry Juice, Lime Juice","Combine Vodka, Curry Leaves, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,ZLB 23 (Pune)
Desi Martini 1148,South Inspired,"Vodka, Cardamom, Lime Juice, Lime Juice","Combine Vodka, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,Muro (Chennai)
Urban Smash 1149,Twisted Classics,"Whisky, Jaggery, Coconut Water, Lime Juice","Combine Whisky, Jaggery, and Coconut Water in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Ping’s (Goa)
Golden Tonic 1150,Himalayan Flavors,"Rum, Saffron, Pineapple Juice, Lime Juice","Combine Rum, Saffron, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Room One (Delhi)
Desi Tonic 1151,The Icons,"Tequila, Aam Panna, Lime Juice, Lime Juice","Combine Tequila, Aam Panna, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,AM PM (Chennai)
Urban Sling 1152,Tropical,"Vodka, Himalayan Honey, Lime Juice, Lime Juice","Combine Vodka, Himalayan Honey, and Lime Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,ZLB 23 (Noida)
Desi Mojito 1153,Signature,"Rum, Jaggery, Pineapple Juice, Lime Juice","Combine Rum, Jaggery, and Pineapple Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Muro (Goa)
Golden Mule 1154,Signature,"Tequila, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Tequila, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Pandan Club (Noida)
Jungle Mojito 1155,The Icons,"Mezcal, Ginger, Cranberry Juice, Lime Juice","Combine Mezcal, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Orange Twist.",Orange Twist,Copper Mug,Ekaa (Bangalore)
Silver Smash 1156,Himalayan Flavors,"Mezcal, Jaggery, Orange Juice, Lime Juice","Combine Mezcal, Jaggery, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Joseph Bar (Gurgaon)
Silver Martini 1157,Savory & Bold,"Vodka, Himalayan Honey, Ginger Ale, Lime Juice","Combine Vodka, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Mint Sprig.",Mint Sprig,Tiki Glass,Bar Kin-Rü (Bangalore)
Rustic Fizz 1158,Signature,"Tequila, Jaljeera, Coconut Water, Lime Juice","Combine Tequila, Jaljeera, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,Soy Como Soy (Pune)
Masala Tonic 1159,Tropical,"Brandy, Kokum, Agave Nectar, Lime Juice","Combine Brandy, Kokum, and Agave Nectar in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Sorano (Kolkata)
Monsoon Fizz 1160,Himalayan Flavors,"Gin, Saffron, Sugar Syrup, Lime Juice","Combine Gin, Saffron, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,ZLB 23 (Bangalore)
Spicy Smash 1161,Signature,"Brandy, Tamarind, Orange Juice, Lime Juice","Combine Brandy, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Cinnamon Stick.",Cinnamon Stick,Rocks Glass,Cobbler & Crew (Gurgaon)
Golden Fizz 1162,Tropical,"Vodka, Ginger, Pineapple Juice, Lime Juice","Combine Vodka, Ginger, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Cal-On (Chennai)
Sunrise Sour 1163,Savory & Bold,"Vodka, Aam Panna, Agave Nectar, Lime Juice","Combine Vodka, Aam Panna, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Rose Petals.",Rose Petals,Copper Mug,Bar Tesouro (Bangalore)
Midnight Collins 1164,The Icons,"Vodka, Filter Kaapi, Ginger Ale, Lime Juice","Combine Vodka, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Ekaa (Gurgaon)
Coastal Mule 1165,South Inspired,"Whisky, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Mint Sprig.",Mint Sprig,Highball,Indian Accent (Noida)
Emerald Collins 1166,South Inspired,"Brandy, Rose Syrup, Agave Nectar, Lime Juice","Combine Brandy, Rose Syrup, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Ping’s (Mumbai)
Midnight Mojito 1167,The Icons,"Rum, Ginger, Tonic Water, Lime Juice","Combine Rum, Ginger, and Tonic Water in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,RÜ (Pune)
Cool Smash 1168,Signature,"Tequila, Curry Leaves, Tonic Water, Lime Juice","Combine Tequila, Curry Leaves, and Tonic Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lemon Peel.",Lemon Peel,Rocks Glass,Grumps (Noida)
Coastal Mojito 1169,The Icons,"Mezcal, Saffron, Cranberry Juice, Lime Juice","Combine Mezcal, Saffron, and Cranberry Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Coffee Beans.",Coffee Beans,Copper Mug,The Library Bar (Goa)
Golden Mule 1170,Signature,"Brandy, Curry Leaves, Cranberry Juice, Lime Juice","Combine Brandy, Curry Leaves, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,TOIT (Kolkata)
Coastal Fizz 1171,Savory & Bold,"Brandy, Kokum, Orange Juice, Lime Juice","Combine Brandy, Kokum, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Curry Leaf.",Curry Leaf,Martini Glass,Muro (Bangalore)
Royal Fizz 1172,Signature,"Whisky, Saffron, Agave Nectar, Lime Juice","Combine Whisky, Saffron, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Cinnamon Stick.",Cinnamon Stick,Highball,Slow Tide (Bangalore)
Rustic Mojito 1173,Tropical,"Brandy, Filter Kaapi, Ginger Ale, Lime Juice","Combine Brandy, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Grumps (Goa)
Emerald Smash 1174,Signature,"Gin, Masala Chai, Orange Juice, Lime Juice","Combine Gin, Masala Chai, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Pandan Club (Pune)
Sunrise Fizz 1175,Twisted Classics,"Rum, Saffron, Ginger Ale, Lime Juice","Combine Rum, Saffron, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Dried Chilli.",Dried Chilli,Coupe,Muro (Gurgaon)
Sunset Mule 1176,Twisted Classics,"Mezcal, Rose Syrup, Orange Juice, Lime Juice","Combine Mezcal, Rose Syrup, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Lemon Peel.",Lemon Peel,Martini Glass,Cobbler & Crew (Mumbai)
Coastal Mule 1177,Savory & Bold,"Mezcal, Curry Leaves, Cranberry Juice, Lime Juice","Combine Mezcal, Curry Leaves, and Cranberry Juice in a shaker with ice. Shake well and strain into a Highball. Top with Coffee Beans.",Coffee Beans,Highball,Ping’s (Gurgaon)
Golden Smash 1178,Twisted Classics,"Rum, Cardamom, Orange Juice, Lime Juice","Combine Rum, Cardamom, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lime Wheel.",Lime Wheel,Coupe,Roxie (Pune)
Rustic Tonic 1179,South Inspired,"Gin, Aam Panna, Agave Nectar, Lime Juice","Combine Gin, Aam Panna, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Pineapple Wedge.",Pineapple Wedge,Coupe,Joseph Bar (Chennai)
Midnight Tonic 1180,Tropical,"Mezcal, Indian Lime Pickle, Sugar Syrup, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Sugar Syrup in a shaker with ice. Shake well and strain into a Jam Jar. Top with Mint Sprig.",Mint Sprig,Jam Jar,Whisky Samba (Kolkata)
Temple Martini 1181,The Icons,"Tequila, Jaggery, Agave Nectar, Lime Juice","Combine Tequila, Jaggery, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Soy Como Soy (Kolkata)
Silver Mule 1182,Himalayan Flavors,"Vodka, Aam Panna, Lime Juice, Lime Juice","Combine Vodka, Aam Panna, and Lime Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Jamming Goat (Mumbai)
Masala Fizz 1183,Twisted Classics,"Whisky, Filter Kaapi, Ginger Ale, Lime Juice","Combine Whisky, Filter Kaapi, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Cinnamon Stick.",Cinnamon Stick,Martini Glass,Room Two (Goa)
Midnight Sour 1184,The Icons,"Whisky, Kokum, Lime Juice, Lime Juice","Combine Whisky, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Orange Twist.",Orange Twist,Highball,Slow Tide (Noida)
Royal Punch 1185,The Icons,"Mezcal, Indian Lime Pickle, Tonic Water, Lime Juice","Combine Mezcal, Indian Lime Pickle, and Tonic Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Slow Tide (Gurgaon)
Royal Sour 1186,Tropical,"Gin, Filter Kaapi, Lime Juice, Lime Juice","Combine Gin, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,Ekaa (Pune)
Golden Mojito 1187,Tropical,"Mezcal, Aam Panna, Ginger Ale, Lime Juice","Combine Mezcal, Aam Panna, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Muro (Noida)
Royal Martini 1188,Himalayan Flavors,"Gin, Indian Lime Pickle, Lime Juice, Lime Juice","Combine Gin, Indian Lime Pickle, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Social (Gurgaon)
Rustic Mojito 1189,Signature,"Vodka, Curry Leaves, Ginger Ale, Lime Juice","Combine Vodka, Curry Leaves, and Ginger Ale in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Cinnamon Stick.",Cinnamon Stick,Rocks Glass,Native (Bangalore)
Ruby Collins 1190,The Icons,"Whisky, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Whisky, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Dried Chilli.",Dried Chilli,Martini Glass,Ekaa (Noida)
Cool Sling 1191,Himalayan Flavors,"Gin, Black Salt, Lime Juice, Lime Juice","Combine Gin, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Rose Petals.",Rose Petals,Highball,Cal-On (Delhi)
Jungle Fizz 1192,South Inspired,"Vodka, Filter Kaapi, Soda, Lime Juice","Combine Vodka, Filter Kaapi, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Pineapple Wedge.",Pineapple Wedge,Copper Mug,KooX (Mumbai)
Desi Sling 1193,Twisted Classics,"Vodka, Filter Kaapi, Lime Juice, Lime Juice","Combine Vodka, Filter Kaapi, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Nutcase Etc (Gurgaon)
Sunrise Tonic 1194,South Inspired,"Gin, Betel Leaf, Ginger Ale, Lime Juice","Combine Gin, Betel Leaf, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Rose Petals.",Rose Petals,Tiki Glass,Sorano (Gurgaon)
Desi Punch 1195,Signature,"Vodka, Cardamom, Ginger Ale, Lime Juice","Combine Vodka, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Lair (Noida)
Ruby Fizz 1196,Savory & Bold,"Tequila, Tamarind, Ginger Ale, Lime Juice","Combine Tequila, Tamarind, and Ginger Ale in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,Cal-On (Noida)
Urban Sour 1197,South Inspired,"Rum, Cardamom, Ginger Ale, Lime Juice","Combine Rum, Cardamom, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,The Beer Cafe (Kolkata)
Monsoon Tonic 1198,Savory & Bold,"Gin, Curry Leaves, Ginger Ale, Lime Juice","Combine Gin, Curry Leaves, and Ginger Ale in a shaker with ice. Shake well and strain into a Martini Glass. Top with Pineapple Wedge.",Pineapple Wedge,Martini Glass,Jamming Goat (Noida)
Temple Smash 1199,Tropical,"Gin, Black Salt, Ginger Ale, Lime Juice","Combine Gin, Black Salt, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Roxie (Chennai)
Sunrise Sour 1200,Signature,"Gin, Ginger, Agave Nectar, Lime Juice","Combine Gin, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,The Library Bar (Gurgaon)
Golden Fizz 1201,Tropical,"Tequila, Curry Leaves, Cranberry Juice, Lime Juice","Combine Tequila, Curry Leaves, and Cranberry Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Dried Chilli.",Dried Chilli,Tiki Glass,Hoots (Noida)
Sunrise Mojito 1202,South Inspired,"Brandy, Filter Kaapi, Coconut Water, Lime Juice","Combine Brandy, Filter Kaapi, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,Bar Tesouro (Kolkata)
Desi Tonic 1203,Twisted Classics,"Vodka, Black Salt, Soda, Lime Juice","Combine Vodka, Black Salt, and Soda in a shaker with ice. Shake well and strain into a Wine Glass. Top with Curry Leaf.",Curry Leaf,Wine Glass,Ping’s (Noida)
Ruby Sling 1204,South Inspired,"Brandy, Black Salt, Lime Juice, Lime Juice","Combine Brandy, Black Salt, and Lime Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Mint Sprig.",Mint Sprig,Coupe,Bar Kin-Rü (Chennai)
Royal Collins 1205,Savory & Bold,"Whisky, Cardamom, Pineapple Juice, Lime Juice","Combine Whisky, Cardamom, and Pineapple Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Dried Chilli.",Dried Chilli,Copper Mug,Hoots (Mumbai)
Silver Punch 1206,Himalayan Flavors,"Mezcal, Aam Panna, Agave Nectar, Lime Juice","Combine Mezcal, Aam Panna, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Monkey Bar (Hyderabad)
Sunrise Mule 1207,Signature,"Tequila, Cumin, Soda, Lime Juice","Combine Tequila, Cumin, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Room Two (Gurgaon)
Rustic Smash 1208,Tropical,"Rum, Betel Leaf, Agave Nectar, Lime Juice","Combine Rum, Betel Leaf, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,The Library Bar (Noida)
Masala Mule 1209,Signature,"Rum, Tamarind, Pineapple Juice, Lime Juice","Combine Rum, Tamarind, and Pineapple Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,The Beer Cafe (Mumbai)
Desi Mule 1210,Tropical,"Rum, Ginger, Ginger Ale, Lime Juice","Combine Rum, Ginger, and Ginger Ale in a shaker with ice. Shake well and strain into a Jam Jar. Top with Rose Petals.",Rose Petals,Jam Jar,Monkey Bar (Noida)
Emerald Tonic 1211,Twisted Classics,"Rum, Ginger, Sugar Syrup, Lime Juice","Combine Rum, Ginger, and Sugar Syrup in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Cinnamon Stick.",Cinnamon Stick,Tiki Glass,Lair (Hyderabad)
Ruby Mojito 1212,Tropical,"Vodka, Ginger, Lime Juice, Lime Juice","Combine Vodka, Ginger, and Lime Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Bar Tesouro (Goa)
Monsoon Sour 1213,Savory & Bold,"Brandy, Jaljeera, Soda, Lime Juice","Combine Brandy, Jaljeera, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Curry Leaf.",Curry Leaf,Tiki Glass,Hideaway (Noida)
Coastal Martini 1214,South Inspired,"Gin, Betel Leaf, Soda, Lime Juice","Combine Gin, Betel Leaf, and Soda in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,Whisky Samba (Gurgaon)
Royal Tonic 1215,The Icons,"Brandy, Ginger, Agave Nectar, Lime Juice","Combine Brandy, Ginger, and Agave Nectar in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Sorano (Pune)
Sunset Tonic 1216,Tropical,"Gin, Aam Panna, Lime Juice, Lime Juice","Combine Gin, Aam Panna, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Little Bit Sober (Goa)
Royal Collins 1217,Twisted Classics,"Whisky, Himalayan Honey, Orange Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Coffee Beans.",Coffee Beans,Jam Jar,Monkey Bar (Noida)
Silver Mojito 1218,Twisted Classics,"Vodka, Cumin, Lime Juice, Lime Juice","Combine Vodka, Cumin, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Sorano (Pune)
Masala Tonic 1219,Signature,"Tequila, Jaljeera, Orange Juice, Lime Juice","Combine Tequila, Jaljeera, and Orange Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Orange Twist.",Orange Twist,Jam Jar,Cal-On (Noida)
Coastal Sour 1220,South Inspired,"Tequila, Himalayan Honey, Lime Juice, Lime Juice","Combine Tequila, Himalayan Honey, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lemon Peel.",Lemon Peel,Copper Mug,Bar Kin-Rü (Pune)
Midnight Fizz 1221,Tropical,"Tequila, Ginger, Soda, Lime Juice","Combine Tequila, Ginger, and Soda in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,Avartana (Kolkata)
Temple Martini 1222,The Icons,"Tequila, Jaggery, Soda, Lime Juice","Combine Tequila, Jaggery, and Soda in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Lime Wheel.",Lime Wheel,Tiki Glass,Bar Tesouro (Mumbai)
Rustic Sling 1223,South Inspired,"Tequila, Himalayan Honey, Ginger Ale, Lime Juice","Combine Tequila, Himalayan Honey, and Ginger Ale in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,Conversation Room (Chennai)
Masala Mule 1224,Signature,"Mezcal, Aam Panna, Orange Juice, Lime Juice","Combine Mezcal, Aam Panna, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,The Bombay Canteen (Goa)
Monsoon Sling 1225,The Icons,"Whisky, Masala Chai, Coconut Water, Lime Juice","Combine Whisky, Masala Chai, and Coconut Water in a shaker with ice. Shake well and strain into a Jam Jar. Top with Pineapple Wedge.",Pineapple Wedge,Jam Jar,Cal-On (Kolkata)
Ruby Collins 1226,Himalayan Flavors,"Gin, Himalayan Honey, Orange Juice, Lime Juice","Combine Gin, Himalayan Honey, and Orange Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Orange Twist.",Orange Twist,Rocks Glass,Indian Accent (Mumbai)
Monsoon Smash 1227,The Icons,"Tequila, Jaljeera, Lime Juice, Lime Juice","Combine Tequila, Jaljeera, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Pineapple Wedge.",Pineapple Wedge,Rocks Glass,AM PM (Gurgaon)
Desi Sling 1228,Himalayan Flavors,"Tequila, Ginger, Cranberry Juice, Lime Juice","Combine Tequila, Ginger, and Cranberry Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Orange Twist.",Orange Twist,Coupe,Bar Tesouro (Chennai)
Royal Martini 1229,Twisted Classics,"Whisky, Himalayan Honey, Cranberry Juice, Lime Juice","Combine Whisky, Himalayan Honey, and Cranberry Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Rose Petals.",Rose Petals,Wine Glass,Indian Accent (Gurgaon)
Masala Smash 1230,Savory & Bold,"Gin, Cardamom, Lime Juice, Lime Juice","Combine Gin, Cardamom, and Lime Juice in a shaker with ice. Shake well and strain into a Wine Glass. Top with Mint Sprig.",Mint Sprig,Wine Glass,Hideaway (Kolkata)
Sunrise Smash 1231,Himalayan Flavors,"Whisky, Tamarind, Orange Juice, Lime Juice","Combine Whisky, Tamarind, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Lemon Peel.",Lemon Peel,Coupe,Sorano (Gurgaon)
Midnight Mule 1232,Himalayan Flavors,"Tequila, Aam Panna, Soda, Lime Juice","Combine Tequila, Aam Panna, and Soda in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Lime Wheel.",Lime Wheel,Rocks Glass,Pandan Club (Noida)
Coastal Mojito 1233,Himalayan Flavors,"Mezcal, Jaljeera, Agave Nectar, Lime Juice","Combine Mezcal, Jaljeera, and Agave Nectar in a shaker with ice. Shake well and strain into a Wine Glass. Top with Lemon Peel.",Lemon Peel,Wine Glass,The Beer Cafe (Mumbai)
Masala Fizz 1234,Twisted Classics,"Mezcal, Himalayan Honey, Coconut Water, Lime Juice","Combine Mezcal, Himalayan Honey, and Coconut Water in a shaker with ice. Shake well and strain into a Copper Mug. Top with Mint Sprig.",Mint Sprig,Copper Mug,Bar Kin-Rü (Hyderabad)
Urban Sour 1235,Savory & Bold,"Whisky, Jaggery, Agave Nectar, Lime Juice","Combine Whisky, Jaggery, and Agave Nectar in a shaker with ice. Shake well and strain into a Coupe. Top with Cinnamon Stick.",Cinnamon Stick,Coupe,Monkey Bar (Chennai)
Spicy Mojito 1236,Tropical,"Gin, Betel Leaf, Sugar Syrup, Lime Juice","Combine Gin, Betel Leaf, and Sugar Syrup in a shaker with ice. Shake well and strain into a Wine Glass. Top with Dried Chilli.",Dried Chilli,Wine Glass,Lair (Mumbai)
Ruby Smash 1237,Tropical,"Tequila, Kokum, Ginger Ale, Lime Juice","Combine Tequila, Kokum, and Ginger Ale in a shaker with ice. Shake well and strain into a Wine Glass. Top with Coffee Beans.",Coffee Beans,Wine Glass,Hideaway (Chennai)
Jungle Collins 1238,Twisted Classics,"Tequila, Himalayan Honey, Pineapple Juice, Lime Juice","Combine Tequila, Himalayan Honey, and Pineapple Juice in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Coffee Beans.",Coffee Beans,Tiki Glass,Room Two (Gurgaon)
Desi Fizz 1239,Twisted Classics,"Brandy, Cardamom, Cranberry Juice, Lime Juice","Combine Brandy, Cardamom, and Cranberry Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Mint Sprig.",Mint Sprig,Rocks Glass,Social (Pune)
Ruby Sour 1240,Tropical,"Whisky, Cumin, Lime Juice, Lime Juice","Combine Whisky, Cumin, and Lime Juice in a shaker with ice. Shake well and strain into a Copper Mug. Top with Lime Wheel.",Lime Wheel,Copper Mug,RÜ (Mumbai)
Masala Mojito 1241,Savory & Bold,"Whisky, Himalayan Honey, Coconut Water, Lime Juice","Combine Whisky, Himalayan Honey, and Coconut Water in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Room Two (Chennai)
Temple Tonic 1242,Signature,"Rum, Saffron, Orange Juice, Lime Juice","Combine Rum, Saffron, and Orange Juice in a shaker with ice. Shake well and strain into a Martini Glass. Top with Rose Petals.",Rose Petals,Martini Glass,Roxie (Pune)
Sunset Punch 1243,Twisted Classics,"Mezcal, Curry Leaves, Orange Juice, Lime Juice","Combine Mezcal, Curry Leaves, and Orange Juice in a shaker with ice. Shake well and strain into a Highball. Top with Lime Wheel.",Lime Wheel,Highball,ZLB 23 (Noida)
Emerald Punch 1244,South Inspired,"Whisky, Curry Leaves, Ginger Ale, Lime Juice","Combine Whisky, Curry Leaves, and Ginger Ale in a shaker with ice. Shake well and strain into a Tiki Glass. Top with Pineapple Wedge.",Pineapple Wedge,Tiki Glass,Joseph Bar (Chennai)
Masala Fizz 1245,Himalayan Flavors,"Brandy, Indian Lime Pickle, Pineapple Juice, Lime Juice","Combine Brandy, Indian Lime Pickle, and Pineapple Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Curry Leaf.",Curry Leaf,Rocks Glass,Nutcase Etc (Delhi)
Midnight Martini 1246,Signature,"Whisky, Indian Lime Pickle, Orange Juice, Lime Juice","Combine Whisky, Indian Lime Pickle, and Orange Juice in a shaker with ice. Shake well and strain into a Coupe. Top with Curry Leaf.",Curry Leaf,Coupe,Elephant & Co (Chennai)
Golden Mule 1247,Tropical,"Mezcal, Curry Leaves, Agave Nectar, Lime Juice","Combine Mezcal, Curry Leaves, and Agave Nectar in a shaker with ice. Shake well and strain into a Highball. Top with Lemon Peel.",Lemon Peel,Highball,Cock & Bull (Noida)
Royal Sour 1248,Savory & Bold,"Rum, Betel Leaf, Cranberry Juice, Lime Juice","Combine Rum, Betel Leaf, and Cranberry Juice in a shaker with ice. Shake well and strain into a Jam Jar. Top with Cinnamon Stick.",Cinnamon Stick,Jam Jar,PCO (Chennai)
Royal Collins 1249,The Icons,"Gin, Himalayan Honey, Sugar Syrup, Lime Juice","Combine Gin, Himalayan Honey, and Sugar Syrup in a shaker with ice. Shake well and strain into a Copper Mug. Top with Curry Leaf.",Curry Leaf,Copper Mug,Elephant & Co (Gurgaon)
Midnight Martini 1250,South Inspired,"Mezcal, Kokum, Lime Juice, Lime Juice","Combine Mezcal, Kokum, and Lime Juice in a shaker with ice. Shake well and strain into a Rocks Glass. Top with Dried Chilli.",Dried Chilli,Rocks Glass,Cock & Bull (Mumbai)
